"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-B" NA
"Otu000004" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-A" NA
"Otu000005" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Unclassified" NA
"Otu000006" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" "acI-C" NA
"Otu000007" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-A" NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" "bacI-A" NA
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" "betIV-A" NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" "OPB35_soil_group_unclassified" "OPB35_soil_group_unclassified" "Unclassified" NA
"Otu000016" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betII" "Pnec" NA
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "bacV" "bacV_unclassified" NA
"Otu000018" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacIV" "bacIV-B" NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutae_vadinHA64" "Opitutae_vadinHA64_unclassified" "Unclassified" NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "bacVI" "bacVI_unclassified" NA
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "alfV" "alfV-A" NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" "Armatimonadales" "Armatimonadaceae" "Armatimonas" NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "bacIII" "bacIII-A" NA
"Otu000026" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acTH1" "acTH1-A" NA
"Otu000027" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" "betI-B" NA
"Otu000029" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "bacIII" "bacIII-B" NA
"Otu000030" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" "Synechococcus" NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" "verI-B" "Xip-B1" NA
"Otu000044" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "alfII" "alfII-A" NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" "acIV-A" NA
"Otu000048" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "alfVIII" "alfVIII_unclassified" NA
"Otu000056" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Unclassified" NA
"Otu000059" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acSTL" "acSTL-A" NA
"Otu000060" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIV" "alfIV_unclassified" NA
"Otu000062" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Hirschia" NA
"Otu000063" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Cryomorphaceae" "Owenweeksia" NA
"Otu000066" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pirellula" NA
"Otu000067" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "bacII" "bacII-A" NA
"Otu000070" "Bacteria" "Verrucomicrobia" "[Methylacidiphilae]" "Methylacidiphilales" "LD19" "LD19_unclassified" NA
"Otu000075" "Bacteria" "Chloroflexi" "SL56_marine_group" "SL56_marine_group_unclassified" "SL56_marine_group_unclassified" "Unclassified" NA
"Otu000077" "unknown" "unknown_unclassified" "unknown_unclassified" "unknown_unclassified" "unknown_unclassified" "Unclassified" NA
"Otu000078" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "MWH-UniP1" "betVI" NA
"Otu000080" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" "bacI_unclassified" NA
"Otu000082" "Bacteria" "Chlorobi" "Chlorobia" "Chlorobiales" "OPB56" "Unclassified" NA
"Otu000083" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Unclassified" NA
"Otu000086" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIV" "alfIV-B" NA
"Otu000087" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Sporichthyaceae" "hgcI_clade" NA
"Otu000088" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "alfI" "alfI-A" NA
"Otu000093" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Unclassified" NA
"Otu000094" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Unclassified" NA
"Otu000096" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriales_unclassified" "Flavobacteriales_unclassified" NA
"Otu000100" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Planctomyces" NA
"Otu000103" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betIII" "betIII-A" NA
"Otu000104" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Luna1" "Luna1-A" NA
"Otu000106" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "alfVI" "alfVI_unclassified" NA
"Otu000107" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "env.OPS_17" "Unclassified" NA
"Otu000110" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" NA
"Otu000117" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIV" "FamilyI" "Anabaena" NA
"Otu000120" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Bdellovibrionales" "Bdellovibrionaceae" "OM27_clade" NA
"Otu000136" "Bacteria" "Planctomycetes" "Planctomycetes_unclassified" "Planctomycetes_unclassified" "Planctomycetes_unclassified" "Unclassified" NA
