"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000004" "Bacteria" "Actinobacteria" NA NA NA NA NA
"Otu000005" "Bacteria" "Cyanobacteria" NA NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" NA NA NA NA NA
"Otu000010" "Bacteria" "Proteobacteria" NA NA NA NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" NA NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" NA NA NA NA NA
"Otu000042" "Bacteria" "Planctomycetes" NA NA NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" NA NA NA NA NA
"Otu000082" "Bacteria" "Chlorobi" NA NA NA NA NA
"Otu000152" "Bacteria" "Bacteria_unclassified" NA NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" NA NA NA NA NA
"Otu000267" "Bacteria" "Omnitrophica" NA NA NA NA NA
"Otu000438" "Bacteria" "Nitrospirae" NA NA NA NA NA
"Otu000509" "Bacteria" "Acidobacteria" NA NA NA NA NA
"Otu000644" "unknown" "unknown_unclassified" NA NA NA NA NA
"Otu000682" "Bacteria" "Firmicutes" NA NA NA NA NA
"Otu000931" "Bacteria" "Chlamydiae" NA NA NA NA NA
"Otu001021" "Bacteria" "Gracilibacteria" NA NA NA NA NA
"Otu001345" "Bacteria" "Candidate_division_OP3" NA NA NA NA NA
"Otu001487" "Bacteria" "TM6" NA NA NA NA NA
"Otu001697" "Bacteria" "Fibrobacteres" NA NA NA NA NA
"Otu001799" "Bacteria" "Parcubacteria" NA NA NA NA NA
